model_file,model_type,symbol,size_mb,modified_date,age_days,training_script,training_confidence,inference_usage,inference_count,status,recommendation
MSFT_1d_regressor_final_metadata.pkl,regressor,MSFT,0.0,2025-12-19T00:00:30.162649,1,logs/lgb_training_curve_MSFT_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_is_sell_classifier_final.weights.h5,binary_classifier,AAPL,1.61,2025-12-19T01:06:36.013482,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_is_sell_classifier_final.weights.h5,binary_classifier,KO,1.61,2025-12-19T20:19:32.145631,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_is_sell_classifier_calibrated.pkl,binary_classifier,AAPL,1.71,2025-12-19T01:06:35.529483,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_1d_regressor_final.weights.h5,regressor,KO,11.69,2025-12-19T19:39:44.827424,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
IWM_1d_regressor_final.weights.h5,regressor,IWM,11.69,2025-12-19T15:30:39.137842,1,logs/lgb_training_curve_IWM_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_is_sell_classifier_final_model.keras,binary_classifier,KO,1.71,2025-12-19T20:19:34.391176,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
ASML_1d_regressor_final_features.pkl,regressor,ASML,0.0,2025-12-19T16:50:15.823741,1,logs/lgb_training_curve_ASML_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_binary_features.pkl,binary_classifier,AAPL,0.0,2025-12-19T01:06:38.265481,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_1d_regressor_final_model.keras,regressor,KO,11.97,2025-12-19T19:39:45.354479,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
ASML_binary_features.pkl,binary_classifier,ASML,0.0,2025-12-19T17:05:33.053444,1,logs/lgb_training_curve_ASML_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_1d_regressor_final_metadata.pkl,regressor,KO,0.0,2025-12-19T19:39:45.358533,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_binary_classifiers_final_metadata.pkl,binary_classifier,AAPL,0.0,2025-12-19T01:06:38.281481,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
IWM_binary_feature_scaler.pkl,binary_classifier,IWM,0.0,2025-12-19T15:44:29.589382,1,logs/lgb_training_curve_IWM_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
MSFT_1d_regressor_final_feature_scaler.pkl,regressor,MSFT,0.0,2025-12-19T00:00:30.158649,1,logs/lgb_training_curve_MSFT_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_1d_regressor_final_model.keras,regressor,AAPL,11.97,2025-12-19T00:50:51.013700,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_1d_regressor_final.weights.h5,regressor,AAPL,11.69,2025-12-19T00:50:50.429704,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
ASML_is_buy_classifier_final_model.keras,binary_classifier,ASML,1.71,2025-12-19T17:05:32.723904,1,logs/lgb_training_curve_ASML_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
ASML_is_sell_classifier_calibrated.pkl,binary_classifier,ASML,1.71,2025-12-19T17:05:30.468619,1,logs/lgb_training_curve_ASML_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
MSFT_1d_regressor_final_features.pkl,regressor,MSFT,0.0,2025-12-19T00:00:30.158649,1,logs/lgb_training_curve_MSFT_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_is_buy_classifier_final.weights.h5,binary_classifier,AAPL,1.61,2025-12-19T01:06:35.893482,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
IWM_1d_regressor_final_target_scaler.pkl,regressor,IWM,0.0,2025-12-19T15:30:39.635124,1,logs/lgb_training_curve_IWM_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_is_sell_classifier_final_model.keras,binary_classifier,AAPL,1.71,2025-12-19T01:06:38.261481,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
IWM_1d_regressor_final_metadata.pkl,regressor,IWM,0.0,2025-12-19T15:30:39.635124,1,logs/lgb_training_curve_IWM_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
ASML_is_buy_classifier_final.weights.h5,binary_classifier,ASML,1.61,2025-12-19T17:05:30.794302,1,logs/lgb_training_curve_ASML_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
ASML_1d_target_scaler_robust.pkl,scaler,ASML,0.0,2025-12-19T16:50:15.819671,1,logs/lgb_training_curve_ASML_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
IWM_binary_features.pkl,binary_classifier,IWM,0.0,2025-12-19T15:44:29.589382,1,logs/lgb_training_curve_IWM_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_1d_regressor_final_feature_scaler.pkl,regressor,KO,0.0,2025-12-19T19:39:45.354479,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
IWM_is_buy_classifier_calibrated.pkl,binary_classifier,IWM,1.71,2025-12-19T15:44:26.773919,1,logs/lgb_training_curve_IWM_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_1d_target_scaler_robust.pkl,scaler,AAPL,0.0,2025-12-19T00:50:51.013700,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
ASML_1d_regressor_final_feature_scaler.pkl,regressor,ASML,0.0,2025-12-19T16:50:15.819671,1,logs/lgb_training_curve_ASML_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_is_sell_classifier_calibrated.pkl,binary_classifier,KO,1.71,2025-12-19T20:19:31.722396,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
MSFT_1d_regressor_final.weights.h5,regressor,MSFT,11.63,2025-12-19T00:00:29.814649,1,logs/lgb_training_curve_MSFT_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
ASML_is_sell_classifier_final_model.keras,binary_classifier,ASML,1.71,2025-12-19T17:05:33.053444,1,logs/lgb_training_curve_ASML_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_binary_features.pkl,binary_classifier,KO,0.0,2025-12-19T20:19:34.391176,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_1d_regressor_final_features.pkl,regressor,AAPL,0.0,2025-12-19T00:50:51.017700,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
MSFT_1d_regressor_final_target_scaler.pkl,regressor,MSFT,0.0,2025-12-19T00:00:30.158649,1,logs/lgb_training_curve_MSFT_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
IWM_is_sell_classifier_final_model.keras,binary_classifier,IWM,1.71,2025-12-19T15:44:29.585308,1,logs/lgb_training_curve_IWM_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_1d_regressor_final_metadata.pkl,regressor,AAPL,0.0,2025-12-19T00:50:51.017700,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_binary_feature_scaler.pkl,binary_classifier,AAPL,0.0,2025-12-19T01:06:38.261481,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
ASML_binary_feature_scaler.pkl,binary_classifier,ASML,0.0,2025-12-19T17:05:33.053444,1,logs/lgb_training_curve_ASML_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_is_buy_classifier_final_model.keras,binary_classifier,AAPL,1.71,2025-12-19T01:06:37.897481,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
IWM_1d_regressor_final_model.keras,regressor,IWM,11.97,2025-12-19T15:30:39.635124,1,logs/lgb_training_curve_IWM_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_1d_regressor_final_target_scaler.pkl,regressor,AAPL,0.0,2025-12-19T00:50:51.013700,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
MSFT_1d_target_scaler_robust.pkl,scaler,MSFT,0.0,2025-12-19T00:00:30.158649,1,logs/lgb_training_curve_MSFT_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_binary_classifiers_final_metadata.pkl,binary_classifier,KO,0.0,2025-12-19T20:19:34.435523,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_1d_regressor_final_features.pkl,regressor,KO,0.0,2025-12-19T19:39:45.354479,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
IWM_1d_regressor_final_features.pkl,regressor,IWM,0.0,2025-12-19T15:30:39.635124,1,logs/lgb_training_curve_IWM_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
IWM_is_sell_classifier_calibrated.pkl,binary_classifier,IWM,1.71,2025-12-19T15:44:26.973568,1,logs/lgb_training_curve_IWM_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
IWM_binary_classifiers_final_metadata.pkl,binary_classifier,IWM,0.0,2025-12-19T15:44:29.597532,1,logs/lgb_training_curve_IWM_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_1d_regressor_final_feature_scaler.pkl,regressor,AAPL,0.0,2025-12-19T00:50:51.013700,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
ASML_is_sell_classifier_final.weights.h5,binary_classifier,ASML,1.61,2025-12-19T17:05:30.892007,1,logs/lgb_training_curve_ASML_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
ASML_is_buy_classifier_calibrated.pkl,binary_classifier,ASML,1.71,2025-12-19T17:05:30.260995,1,logs/lgb_training_curve_ASML_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
AAPL_is_buy_classifier_calibrated.pkl,binary_classifier,AAPL,1.71,2025-12-19T01:06:35.261483,1,logs/lgb_training_curve_AAPL_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_1d_regressor_final_target_scaler.pkl,regressor,KO,0.0,2025-12-19T19:39:45.354479,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
ASML_1d_regressor_final.weights.h5,regressor,ASML,11.69,2025-12-19T16:50:15.310879,1,logs/lgb_training_curve_ASML_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_binary_feature_scaler.pkl,binary_classifier,KO,0.0,2025-12-19T20:19:34.391176,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_is_buy_classifier_final.weights.h5,binary_classifier,KO,1.61,2025-12-19T20:19:32.044849,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
IWM_1d_regressor_final_feature_scaler.pkl,regressor,IWM,0.0,2025-12-19T15:30:39.635124,1,logs/lgb_training_curve_IWM_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
ASML_binary_classifiers_final_metadata.pkl,binary_classifier,ASML,0.0,2025-12-19T17:05:33.065649,1,logs/lgb_training_curve_ASML_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_1d_target_scaler_robust.pkl,scaler,KO,0.0,2025-12-19T19:39:45.354479,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_is_buy_classifier_calibrated.pkl,binary_classifier,KO,1.71,2025-12-19T20:19:31.448317,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
KO_is_buy_classifier_final_model.keras,binary_classifier,KO,1.71,2025-12-19T20:19:34.036397,0,logs/lgb_training_curve_KO_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
ASML_1d_regressor_final_metadata.pkl,regressor,ASML,0.0,2025-12-19T16:50:15.823741,1,logs/lgb_training_curve_ASML_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
ASML_1d_regressor_final_target_scaler.pkl,regressor,ASML,0.0,2025-12-19T16:50:15.819671,1,logs/lgb_training_curve_ASML_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
IWM_is_buy_classifier_final.weights.h5,binary_classifier,IWM,1.61,2025-12-19T15:44:27.275079,1,logs/lgb_training_curve_IWM_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
IWM_1d_target_scaler_robust.pkl,scaler,IWM,0.0,2025-12-19T15:30:39.635124,1,logs/lgb_training_curve_IWM_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
ASML_1d_regressor_final_model.keras,regressor,ASML,11.97,2025-12-19T16:50:15.819671,1,logs/lgb_training_curve_ASML_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
IWM_is_buy_classifier_final_model.keras,binary_classifier,IWM,1.71,2025-12-19T15:44:29.243052,1,logs/lgb_training_curve_IWM_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
IWM_is_sell_classifier_final.weights.h5,binary_classifier,IWM,1.61,2025-12-19T15:44:27.381016,1,logs/lgb_training_curve_IWM_final.png,0.7,None,0,TRAINING_ONLY,REVIEW
target_metadata.pkl,UNKNOWN,,0.0,2025-12-19T00:00:30.162649,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-19T00:00:28.738650,1,None,0.0,None,0,ORPHANED,REVIEW
regressor.weights.h5,regressor,,11.63,2025-12-19T00:00:27.786650,1,None,0.0,None,0,ORPHANED,REVIEW
target_scaler_robust.pkl,scaler,,0.0,2025-12-19T00:00:28.738650,1,None,0.0,None,0,ORPHANED,REVIEW
features.pkl,UNKNOWN,,0.0,2025-12-19T00:00:28.738650,1,None,0.0,None,0,ORPHANED,REVIEW
model.keras,UNKNOWN,,11.91,2025-12-19T00:00:28.738650,1,None,0.0,None,0,ORPHANED,REVIEW
