model_file,model_type,symbol,size_mb,modified_date,age_days,training_script,training_confidence,inference_usage,inference_count,status,recommendation
vol_scaler.pkl,scaler,,0.0,2025-12-19T00:00:28.738650,1,None,0.0,None,0,ORPHANED,REVIEW
metadata.pkl,UNKNOWN,,0.0,2025-12-19T00:00:30.158649,1,None,0.0,None,0,ORPHANED,REVIEW
target_scaler.pkl,scaler,,0.0,2025-12-19T00:00:28.738650,1,None,0.0,None,0,ORPHANED,REVIEW
feature_scaler.pkl,scaler,,0.0,2025-12-19T00:00:28.738650,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_scaler.joblib,scaler,,0.0,2025-12-18T22:19:13.848433,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_scaler.joblib,scaler,,0.0,2025-12-18T22:18:55.848439,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_reg.joblib,UNKNOWN,,0.43,2025-12-18T22:19:13.848433,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-18T22:19:13.868433,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_reg.joblib,UNKNOWN,,0.11,2025-12-18T22:18:55.844439,1,None,0.0,None,0,ORPHANED,REVIEW
target_metadata.pkl,UNKNOWN,,0.0,2025-12-19T19:39:45.358533,0,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-19T20:19:34.391176,0,None,0.0,None,0,ORPHANED,REVIEW
regressor.weights.h5,regressor,,11.69,2025-12-19T19:39:38.332494,0,None,0.0,None,0,ORPHANED,REVIEW
target_scaler_robust.pkl,scaler,,0.0,2025-12-19T19:39:43.726718,0,None,0.0,None,0,ORPHANED,REVIEW
features.pkl,UNKNOWN,,0.0,2025-12-19T19:39:43.726718,0,None,0.0,None,0,ORPHANED,REVIEW
model.keras,UNKNOWN,,11.97,2025-12-19T19:39:43.722638,0,None,0.0,None,0,ORPHANED,REVIEW
vol_scaler.pkl,scaler,,0.0,2025-12-19T19:39:43.726718,0,None,0.0,None,0,ORPHANED,REVIEW
metadata.pkl,UNKNOWN,,0.0,2025-12-19T19:39:45.358533,0,None,0.0,None,0,ORPHANED,REVIEW
target_scaler.pkl,scaler,,0.0,2025-12-19T19:39:43.726718,0,None,0.0,None,0,ORPHANED,REVIEW
feature_scaler.pkl,scaler,,0.0,2025-12-19T19:39:43.726718,0,None,0.0,None,0,ORPHANED,REVIEW
lgb_scaler.joblib,scaler,,0.0,2025-12-19T20:19:48.875063,0,None,0.0,None,0,ORPHANED,REVIEW
xgb_scaler.joblib,scaler,,0.0,2025-12-19T20:19:44.177060,0,None,0.0,None,0,ORPHANED,REVIEW
lgb_reg.joblib,UNKNOWN,,0.48,2025-12-19T20:19:48.875063,0,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-19T20:19:48.903007,0,None,0.0,None,0,ORPHANED,REVIEW
xgb_reg.joblib,UNKNOWN,,0.11,2025-12-19T20:19:44.177060,0,None,0.0,None,0,ORPHANED,REVIEW
buy_model.keras,UNKNOWN,,1.71,2025-12-19T20:19:32.581011,0,None,0.0,None,0,ORPHANED,REVIEW
sell.weights.h5,UNKNOWN,,1.61,2025-12-19T20:19:31.944077,0,None,0.0,None,0,ORPHANED,REVIEW
sell_model.keras,UNKNOWN,,1.71,2025-12-19T20:19:32.931733,0,None,0.0,None,0,ORPHANED,REVIEW
buy.weights.h5,UNKNOWN,,1.61,2025-12-19T20:19:31.823160,0,None,0.0,None,0,ORPHANED,REVIEW
features.pkl,UNKNOWN,,0.0,2025-12-19T20:19:34.391176,0,None,0.0,None,0,ORPHANED,REVIEW
buy_calibrated.pkl,UNKNOWN,,1.71,2025-12-19T20:19:31.335461,0,None,0.0,None,0,ORPHANED,REVIEW
metadata.pkl,UNKNOWN,,0.0,2025-12-19T20:19:34.435523,0,None,0.0,None,0,ORPHANED,REVIEW
sell_calibrated.pkl,UNKNOWN,,1.71,2025-12-19T20:19:31.565203,0,None,0.0,None,0,ORPHANED,REVIEW
feature_scaler.pkl,scaler,,0.0,2025-12-19T20:19:34.391176,0,None,0.0,None,0,ORPHANED,REVIEW
target_metadata.pkl,UNKNOWN,,0.0,2025-12-19T16:50:15.823741,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-19T17:05:33.053444,1,None,0.0,None,0,ORPHANED,REVIEW
regressor.weights.h5,regressor,,11.69,2025-12-19T16:50:11.464411,1,None,0.0,None,0,ORPHANED,REVIEW
target_scaler_robust.pkl,scaler,,0.0,2025-12-19T16:50:14.285154,1,None,0.0,None,0,ORPHANED,REVIEW
features.pkl,UNKNOWN,,0.0,2025-12-19T16:50:14.285154,1,None,0.0,None,0,ORPHANED,REVIEW
model.keras,UNKNOWN,,11.97,2025-12-19T16:50:14.281084,1,None,0.0,None,0,ORPHANED,REVIEW
vol_scaler.pkl,scaler,,0.0,2025-12-19T16:50:14.285154,1,None,0.0,None,0,ORPHANED,REVIEW
metadata.pkl,UNKNOWN,,0.0,2025-12-19T16:50:15.823741,1,None,0.0,None,0,ORPHANED,REVIEW
target_scaler.pkl,scaler,,0.0,2025-12-19T16:50:14.285154,1,None,0.0,None,0,ORPHANED,REVIEW
feature_scaler.pkl,scaler,,0.0,2025-12-19T16:50:14.281084,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_scaler.joblib,scaler,,0.0,2025-12-19T17:05:45.581787,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_scaler.joblib,scaler,,0.0,2025-12-19T17:05:41.572998,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_reg.joblib,UNKNOWN,,0.41,2025-12-19T17:05:45.581787,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-19T17:05:45.593996,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_reg.joblib,UNKNOWN,,0.11,2025-12-19T17:05:41.572998,1,None,0.0,None,0,ORPHANED,REVIEW
buy_model.keras,UNKNOWN,,1.71,2025-12-19T17:05:31.278756,1,None,0.0,None,0,ORPHANED,REVIEW
sell.weights.h5,UNKNOWN,,1.61,2025-12-19T17:05:30.688455,1,None,0.0,None,0,ORPHANED,REVIEW
sell_model.keras,UNKNOWN,,1.71,2025-12-19T17:05:31.628866,1,None,0.0,None,0,ORPHANED,REVIEW
buy.weights.h5,UNKNOWN,,1.61,2025-12-19T17:05:30.586679,1,None,0.0,None,0,ORPHANED,REVIEW
features.pkl,UNKNOWN,,0.0,2025-12-19T17:05:33.053444,1,None,0.0,None,0,ORPHANED,REVIEW
buy_calibrated.pkl,UNKNOWN,,1.71,2025-12-19T17:05:30.167361,1,None,0.0,None,0,ORPHANED,REVIEW
metadata.pkl,UNKNOWN,,0.0,2025-12-19T17:05:33.065649,1,None,0.0,None,0,ORPHANED,REVIEW
sell_calibrated.pkl,UNKNOWN,,1.71,2025-12-19T17:05:30.362772,1,None,0.0,None,0,ORPHANED,REVIEW
feature_scaler.pkl,scaler,,0.0,2025-12-19T17:05:33.053444,1,None,0.0,None,0,ORPHANED,REVIEW
target_metadata.pkl,UNKNOWN,,0.0,2025-12-19T00:50:51.017700,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-19T01:06:38.261481,1,None,0.0,None,0,ORPHANED,REVIEW
regressor.weights.h5,regressor,,11.69,2025-12-19T00:50:48.377717,1,None,0.0,None,0,ORPHANED,REVIEW
target_scaler_robust.pkl,scaler,,0.0,2025-12-19T00:50:49.357711,1,None,0.0,None,0,ORPHANED,REVIEW
features.pkl,UNKNOWN,,0.0,2025-12-19T00:50:49.357711,1,None,0.0,None,0,ORPHANED,REVIEW
model.keras,UNKNOWN,,11.97,2025-12-19T00:50:49.353711,1,None,0.0,None,0,ORPHANED,REVIEW
vol_scaler.pkl,scaler,,0.0,2025-12-19T00:50:49.357711,1,None,0.0,None,0,ORPHANED,REVIEW
metadata.pkl,UNKNOWN,,0.0,2025-12-19T00:50:51.017700,1,None,0.0,None,0,ORPHANED,REVIEW
target_scaler.pkl,scaler,,0.0,2025-12-19T00:50:49.357711,1,None,0.0,None,0,ORPHANED,REVIEW
feature_scaler.pkl,scaler,,0.0,2025-12-19T00:50:49.353711,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_scaler.joblib,scaler,,0.0,2025-12-19T01:08:28.141449,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_scaler.joblib,scaler,,0.0,2025-12-19T01:08:17.089453,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_reg.joblib,UNKNOWN,,0.48,2025-12-19T01:08:28.141449,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-19T01:08:28.165449,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_reg.joblib,UNKNOWN,,0.11,2025-12-19T01:08:17.089453,1,None,0.0,None,0,ORPHANED,REVIEW
buy_model.keras,UNKNOWN,,1.71,2025-12-19T01:06:36.401481,1,None,0.0,None,0,ORPHANED,REVIEW
sell.weights.h5,UNKNOWN,,1.61,2025-12-19T01:06:35.769482,1,None,0.0,None,0,ORPHANED,REVIEW
sell_model.keras,UNKNOWN,,1.71,2025-12-19T01:06:36.773481,1,None,0.0,None,0,ORPHANED,REVIEW
buy.weights.h5,UNKNOWN,,1.61,2025-12-19T01:06:35.649482,1,None,0.0,None,0,ORPHANED,REVIEW
features.pkl,UNKNOWN,,0.0,2025-12-19T01:06:38.261481,1,None,0.0,None,0,ORPHANED,REVIEW
buy_calibrated.pkl,UNKNOWN,,1.71,2025-12-19T01:06:35.125483,1,None,0.0,None,0,ORPHANED,REVIEW
metadata.pkl,UNKNOWN,,0.0,2025-12-19T01:06:38.281481,1,None,0.0,None,0,ORPHANED,REVIEW
sell_calibrated.pkl,UNKNOWN,,1.71,2025-12-19T01:06:35.401483,1,None,0.0,None,0,ORPHANED,REVIEW
feature_scaler.pkl,scaler,,0.0,2025-12-19T01:06:38.261481,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_scaler.joblib,scaler,,0.0,2025-12-18T22:48:42.367911,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_scaler.joblib,scaler,,0.0,2025-12-18T22:48:25.147917,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_reg.joblib,UNKNOWN,,0.33,2025-12-18T22:48:42.367911,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-18T22:48:42.383911,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_reg.joblib,UNKNOWN,,0.1,2025-12-18T22:48:25.147917,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_scaler.joblib,scaler,,0.0,2025-12-18T22:43:14.872002,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_scaler.joblib,scaler,,0.0,2025-12-18T22:43:01.656011,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_reg.joblib,UNKNOWN,,0.37,2025-12-18T22:43:14.872002,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-18T22:43:14.880002,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_reg.joblib,UNKNOWN,,0.11,2025-12-18T22:43:01.656011,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_scaler.joblib,scaler,,0.0,2025-12-18T22:40:44.404044,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_scaler.joblib,scaler,,0.0,2025-12-18T22:40:17.796054,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_reg.joblib,UNKNOWN,,0.43,2025-12-18T22:40:44.404044,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-18T22:40:44.416044,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_reg.joblib,UNKNOWN,,0.11,2025-12-18T22:40:17.796054,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_scaler.joblib,scaler,,0.0,2025-12-18T22:23:49.408355,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_scaler.joblib,scaler,,0.0,2025-12-18T22:23:41.732357,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_reg.joblib,UNKNOWN,,0.4,2025-12-18T22:23:49.404355,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-18T22:23:49.416354,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_reg.joblib,UNKNOWN,,0.11,2025-12-18T22:23:41.732357,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_scaler.joblib,scaler,,0.0,2025-12-18T22:37:37.444089,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_scaler.joblib,scaler,,0.0,2025-12-18T22:37:23.828099,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_reg.joblib,UNKNOWN,,0.42,2025-12-18T22:37:37.444089,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-18T22:37:37.456089,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_reg.joblib,UNKNOWN,,0.21,2025-12-18T22:37:23.824099,1,None,0.0,None,0,ORPHANED,REVIEW
target_metadata.pkl,UNKNOWN,,0.0,2025-12-19T15:30:39.635124,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-19T15:44:29.589382,1,None,0.0,None,0,ORPHANED,REVIEW
regressor.weights.h5,regressor,,11.69,2025-12-19T15:30:35.595732,1,None,0.0,None,0,ORPHANED,REVIEW
target_scaler_robust.pkl,scaler,,0.0,2025-12-19T15:30:38.147354,1,None,0.0,None,0,ORPHANED,REVIEW
features.pkl,UNKNOWN,,0.0,2025-12-19T15:30:38.147354,1,None,0.0,None,0,ORPHANED,REVIEW
model.keras,UNKNOWN,,11.97,2025-12-19T15:30:38.147354,1,None,0.0,None,0,ORPHANED,REVIEW
vol_scaler.pkl,scaler,,0.0,2025-12-19T15:30:38.147354,1,None,0.0,None,0,ORPHANED,REVIEW
metadata.pkl,UNKNOWN,,0.0,2025-12-19T15:30:39.635124,1,None,0.0,None,0,ORPHANED,REVIEW
target_scaler.pkl,scaler,,0.0,2025-12-19T15:30:38.147354,1,None,0.0,None,0,ORPHANED,REVIEW
feature_scaler.pkl,scaler,,0.0,2025-12-19T15:30:38.147354,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_scaler.joblib,scaler,,0.0,2025-12-19T15:44:40.504836,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_scaler.joblib,scaler,,0.0,2025-12-19T15:44:37.302401,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_reg.joblib,UNKNOWN,,0.31,2025-12-19T15:44:40.504836,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-19T15:44:40.517059,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_reg.joblib,UNKNOWN,,0.09,2025-12-19T15:44:37.302401,1,None,0.0,None,0,ORPHANED,REVIEW
buy_model.keras,UNKNOWN,,1.71,2025-12-19T15:44:27.792538,1,None,0.0,None,0,ORPHANED,REVIEW
sell.weights.h5,UNKNOWN,,1.61,2025-12-19T15:44:27.181366,1,None,0.0,None,0,ORPHANED,REVIEW
sell_model.keras,UNKNOWN,,1.71,2025-12-19T15:44:28.147017,1,None,0.0,None,0,ORPHANED,REVIEW
buy.weights.h5,UNKNOWN,,1.61,2025-12-19T15:44:27.083579,1,None,0.0,None,0,ORPHANED,REVIEW
features.pkl,UNKNOWN,,0.0,2025-12-19T15:44:29.589382,1,None,0.0,None,0,ORPHANED,REVIEW
buy_calibrated.pkl,UNKNOWN,,1.71,2025-12-19T15:44:26.688355,1,None,0.0,None,0,ORPHANED,REVIEW
metadata.pkl,UNKNOWN,,0.0,2025-12-19T15:44:29.597532,1,None,0.0,None,0,ORPHANED,REVIEW
sell_calibrated.pkl,UNKNOWN,,1.71,2025-12-19T15:44:26.867632,1,None,0.0,None,0,ORPHANED,REVIEW
feature_scaler.pkl,scaler,,0.0,2025-12-19T15:44:29.589382,1,None,0.0,None,0,ORPHANED,REVIEW
